Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,42.520000,42.700001,41.570000,42.599998,41.499859,24338500
2022-07-05,41.520000,41.970001,40.820000,41.959999,41.244293,24442600
2022-07-06,42.119999,42.930000,42.009998,42.689999,41.961842,17250400
2022-07-07,42.880001,43.360001,42.790001,43.220001,42.482807,22316700
2022-07-08,43.029999,43.610001,42.939999,43.389999,42.649906,11817000
2022-07-11,43.340000,43.680000,43.070000,43.250000,42.512295,15245200
2022-07-12,43.580002,43.830002,42.660000,42.860001,42.128944,17385300
2022-07-13,41.849998,43.049999,41.799999,42.700001,41.971672,16854200
2022-07-14,41.790001,42.470001,41.349998,42.330002,41.607986,17336200
2022-07-15,42.500000,43.130001,42.500000,43.070000,42.335365,19897800
2022-07-18,43.299999,43.320000,42.410000,42.599998,41.873375,16743800
2022-07-19,42.820000,44.090000,42.650002,44.029999,43.278988,22861400
2022-07-20,44.080002,44.320000,43.660000,44.130001,43.377285,15599200
2022-07-21,44.290001,44.689999,44.070000,44.580002,43.819607,15364600
2022-07-22,44.779999,44.919998,44.250000,44.459999,43.701653,14854600
2022-07-25,44.660000,44.660000,44.110001,44.340000,43.583702,12954700
2022-07-26,44.369999,44.540001,43.750000,43.830002,43.082401,19513000
2022-07-27,44.189999,44.790001,43.830002,44.639999,43.878582,22349000
2022-07-28,44.880001,45.869999,44.709999,45.619999,44.841866,17576200
2022-07-29,45.110001,45.490002,44.830002,45.369999,44.596130,23701700
2022-08-01,45.060001,45.430000,44.759998,45.279999,44.507664,14153400
2022-08-02,45.520000,45.700001,44.900002,44.919998,44.153805,15005400
2022-08-03,44.900002,45.820000,44.790001,45.709999,44.930332,14943800
2022-08-04,45.900002,45.930000,45.009998,45.380001,44.605965,15249300
2022-08-05,44.910000,45.070000,44.540001,45.009998,44.242268,19533900
2022-08-08,45.490002,45.520000,44.860001,45.020000,44.252102,15465600
2022-08-09,45.150002,45.180000,44.720001,44.919998,44.153805,12826200
2022-08-10,45.709999,46.060001,45.430000,46.020000,45.235046,18935400
2022-08-11,46.110001,46.430000,45.770000,45.900002,45.117092,15849000
2022-08-12,46.090000,46.610001,45.970001,46.610001,45.814983,16967600
2022-08-15,46.389999,46.619999,46.029999,46.590000,45.795322,15456100
2022-08-16,46.570000,47.009998,46.439999,46.770000,45.972252,21153700
2022-08-17,46.360001,47.099998,46.230000,46.660000,45.864128,27975600
2022-08-18,49.799999,50.000000,49.110001,49.369999,48.527905,39999900
2022-08-19,49.009998,49.459999,48.540001,48.700001,47.869335,23130400
2022-08-22,48.470001,48.500000,47.520000,47.709999,46.896217,20534100
2022-08-23,47.590000,48.040001,47.389999,47.410000,46.601334,13764600
2022-08-24,47.090000,47.410000,46.869999,47.070000,46.267136,14946500
2022-08-25,47.250000,47.430000,46.840000,47.270000,46.463722,23039300
2022-08-26,47.080002,47.270000,45.880001,45.889999,45.107262,20309800
2022-08-29,45.720001,46.000000,45.490002,45.709999,44.930332,13425700
2022-08-30,45.750000,45.869999,44.959999,45.240002,44.468353,14279100
2022-08-31,45.779999,45.830002,44.590000,44.720001,43.957218,23006100
2022-09-01,44.570000,45.340000,44.400002,45.290001,44.517498,16236400
2022-09-02,45.709999,45.919998,44.279999,44.590000,43.829437,14720900
2022-09-06,44.660000,44.790001,43.980000,44.470001,43.711487,14366100
2022-09-07,44.750000,45.169998,44.349998,45.020000,44.252102,18297400
2022-09-08,44.759998,45.470001,44.619999,45.369999,44.596130,14231500
2022-09-09,45.660000,45.889999,45.400002,45.770000,44.989307,15499300
2022-09-12,46.110001,46.730000,45.970001,46.400002,45.608562,17923000
2022-09-13,45.720001,45.910000,44.020000,44.110001,43.357624,23028600
2022-09-14,44.040001,44.270000,43.560001,43.959999,43.210178,27551500
2022-09-15,43.810001,43.869999,43.090000,43.290001,42.551609,18148600
2022-09-16,43.110001,43.580002,42.790001,43.299999,42.561440,32696100
2022-09-19,42.900002,43.439999,42.759998,43.299999,42.561440,13667500
2022-09-20,43.009998,43.020000,42.259998,42.580002,41.853722,16813900
2022-09-21,42.320000,42.869999,41.570000,41.590000,40.880608,21415900
2022-09-22,41.340000,41.549999,41.139999,41.150002,40.448112,16691000
2022-09-23,41.250000,41.250000,40.119999,40.660000,39.966469,19067700
2022-09-26,40.660000,41.189999,40.369999,40.580002,39.887836,22694800
2022-09-27,41.139999,41.459999,40.230000,40.520000,39.828857,15027900
